card_code,name,faction_code,xp,main_decks_including_once,main_deck_occurances,side_decks_including_once,side_deck_occurances
02189,Streetwise (3),rogue,3,188,192,88,93
08083,Medical Student,guardian,0,160,266,12,17
03106,Heroic Rescue,guardian,0,165,274,5,8
05315,"""I've had worse…"" (2)",guardian,2,95,170,64,110
09060,Friends in Low Places,rogue,0,130,241,23,36
60326,Lucky Cigarette Case (3),rogue,3,87,135,85,142
03030,Daring Maneuver,rogue,0,153,271,4,6
60205,Arcane Enlightenment,seeker,0,175,261,10,15
06159,Dream-Enhancing Serum,seeker,0,172,266,8,9
04019,Trusted,guardian,0,156,267,6,8
08071,Short Supply,survivor,0,266,266,7,7
03032,Alchemical Transmutation,mystic,0,154,261,7,12
01011,Hospital Debts,neutral,0,271,271,1,1
60213,Whitton Greene,seeker,0,156,260,10,12
01043,Cryptic Research (4),seeker,4,98,165,61,106
02151,"""I'm outta here!""",rogue,0,212,261,8,10
03151,Dario El-Amin,rogue,0,156,259,9,11
01010,On the Lam,neutral,0,269,269,0,0
08126,Heavy Furs,neutral,0,161,256,9,13
09028,Motivational Speech,guardian,0,139,257,4,7
03308,Charon's Obol (1),rogue,1,205,205,59,59
04153,True Understanding,seeker,0,139,249,10,15
06203,Moonstone,survivor,0,161,256,5,7
60306,Mauser C96,rogue,0,139,248,9,15
03150,Forewarned (1),seeker,1,95,158,61,104
08098,Eon Chart (1),seeker,1,74,114,89,148
05025,Connect the Dots,seeker,0,150,252,6,10
06118,Jessica Hyde (1),survivor,1,109,182,50,79
02155,Newspaper,survivor,0,163,251,5,9
60106,Flesh Ward,guardian,0,150,249,7,10
07019,Rite of Sanctification,guardian,0,134,253,3,6
60419,Prescient,mystic,0,135,251,6,8
04160,Cornered (2),survivor,2,120,206,31,52
60126,Overpower (2),guardian,2,61,109,80,148
05035,Four of Cups (1),mystic,1,163,202,44,54
60315,Pilfer,rogue,0,144,237,11,19
60502,Neither Rain nor Snow,survivor,0,85,255,0,0
04106,Shrewd Analysis,seeker,0,245,245,8,8
03119,Run For Your Life,neutral,0,149,244,5,8
04196,Lola Santiago (3),rogue,3,96,147,67,104
06008,Occult Evidence,neutral,0,107,249,0,0
06020,Solemn Vow,guardian,0,102,239,5,8
09044,Grim Memoir,seeker,0,128,238,7,9
60528,Lucky! (3),survivor,3,54,100,76,144
07272,Favor of the Sun (1),neutral,1,82,148,56,96
08107,Ice Pick (3),seeker,3,60,110,75,134
02187,Higher Education (3),seeker,3,143,148,89,95
02270,A Chance Encounter,survivor,0,133,232,5,10
60116,Monster Slayer,guardian,0,125,236,3,5
05277,Small Favor,rogue,0,130,231,6,10
06116,Scroll of Prophecies,mystic,0,138,234,6,7
